OBS_Name,Parent_OBS_Name
Tamor Energy,
PMC,Tamor Energy
Construction Department,PMC
Civil Department,PMC
Plant Department,PMC
HSE Department,PMC
Quality Assurance Department,PMC
Procurement Department, PMC
Technical Department, PMC
Admin/Finance/HR Department, PMC
Survey Department, PMC
